dataset_name,ACC,Balanced_ACC,Precision,Recall,AUROC,AUPRC,MCC,n_estimators,min_samples_split,min_samples_leaf,max_samples,max_depth,seed,freq,size,noise
simulated_seed3_freq010_size1000_noise5_dataset,1.0,1.0,1.0,1.0,1.0,1.0,1.0,500,5,10,0.8,20.0,3,10,1000,5
simulated_seed3_freq010_size1000_noise25_dataset,0.985,0.985,0.98989898989899,0.98,0.9998,0.9998009900990099,0.9700485036378032,500,2,1,,10.0,3,10,1000,25
simulated_seed3_freq010_size1000_noise50_dataset,0.955,0.955,0.9595959595959596,0.95,0.9822,0.9799566301048208,0.9100455034127843,500,10,1,0.8,20.0,3,10,1000,50
simulated_seed3_freq010_size1000_noise60_dataset,0.845,0.845,0.8415841584158416,0.85,0.927,0.9126661706353187,0.6900345025877156,500,10,1,0.8,20.0,3,10,1000,60
simulated_seed3_freq010_size1000_noise70_dataset,0.795,0.795,0.8041237113402062,0.78,0.8493999999999999,0.8313059248249394,0.5902656793470153,500,10,1,0.8,20.0,3,10,1000,70
simulated_seed3_freq010_size1000_noise80_dataset,0.58,0.5800000000000001,0.5851063829787234,0.55,0.6389,0.6759492146428758,0.1602887799401722,500,10,1,0.8,20.0,3,10,1000,80
simulated_seed3_freq025_size1000_noise5_dataset,1.0,1.0,1.0,1.0,1.0,1.0,1.0,500,5,10,0.8,20.0,3,25,1000,5
simulated_seed3_freq025_size1000_noise25_dataset,1.0,1.0,1.0,1.0,1.0,1.0,1.0,500,5,10,0.8,20.0,3,25,1000,25
simulated_seed3_freq025_size1000_noise50_dataset,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100,5,1,0.8,,3,25,1000,50
simulated_seed3_freq025_size1000_noise60_dataset,0.995,0.995,0.9900990099009901,1.0,0.9997,0.9996999799979999,0.9900495037128093,500,2,1,0.8,,3,25,1000,60
simulated_seed3_freq025_size1000_noise70_dataset,0.935,0.935,0.9223300970873787,0.95,0.9928,0.9932282396123089,0.8703917644608531,200,2,1,,20.0,3,25,1000,70
simulated_seed3_freq025_size1000_noise80_dataset,0.94,0.94,0.9489795918367347,0.93,0.9918,0.9918606438459293,0.8801760528176062,200,2,1,,20.0,3,25,1000,80
simulated_seed3_freq050_size1000_noise5_dataset,1.0,1.0,1.0,1.0,1.0,1.0,1.0,500,5,10,0.8,20.0,3,50,1000,5
simulated_seed3_freq050_size1000_noise25_dataset,1.0,1.0,1.0,1.0,1.0,1.0,1.0,500,5,10,0.8,20.0,3,50,1000,25
simulated_seed3_freq050_size1000_noise50_dataset,1.0,1.0,1.0,1.0,1.0,1.0,1.0,500,5,10,0.8,20.0,3,50,1000,50
simulated_seed3_freq050_size1000_noise60_dataset,1.0,1.0,1.0,1.0,1.0,1.0,1.0,500,5,10,0.8,20.0,3,50,1000,60
simulated_seed3_freq050_size1000_noise70_dataset,0.995,0.995,1.0,0.99,0.9996999999999999,0.9997087378640777,0.9900495037128093,500,10,1,0.8,20.0,3,50,1000,70
simulated_seed3_freq050_size1000_noise80_dataset,0.975,0.975,0.9611650485436893,0.99,0.9996,0.9996153846153847,0.9504277887790924,500,2,1,0.8,,3,50,1000,80
simulated_seed3_freq010_size50_noise5_dataset,0.5,0.5,0.5,0.4,0.48,0.5311111111111111,0.0,500,5,10,0.8,20.0,3,10,50,5
simulated_seed3_freq010_size50_noise25_dataset,0.5,0.5,0.5,0.4,0.43999999999999995,0.52,0.0,100,10,10,,,3,10,50,25
